Reporte de valorizado;Fecha Corte;8/09/2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Codigo Articulo;Descripcion;Nombre Comercial;Cod Barras;Invima;CUM;CODIGO ATC;Unidades;Grupo;Sub Grupo;Familia;cod Bod;Bodega;ID Sistema;Estado;Presentacion;Embalaje;Principio Activo;Forma Farmaceutica;Concentracion;Unidad Medida Rips;Codigo Parametro contable;Descripcion Parametro contable;% IVA;Alto Costo;Cadena de Frio;Categoria;Precio Maximo;Precio Maximo VMR;Controlado;Costo Promedio;Ult Costo Compras;Valorizado Total;Mercancia en Consignación
;N00006;DIBEN 1.5 KCAL HP BLS X 1000 ML CJA X 8 - INSTITUCIONAL;DIBEN 1.5 KCAL HP;4051895038063;RSA-002983-2017;;;8;FRESENIUS;General;General;475;DISP. MENNAR 4;16740;N;BOLSA;8;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;52367,0319;52633;418936,2552;NO
;N00006;DIBEN 1.5 KCAL HP BLS X 1000 ML CJA X 8 - INSTITUCIONAL;DIBEN 1.5 KCAL HP;4051895038063;RSA-002983-2017;;;12;FRESENIUS;General;General;509;DISP. MENNAR 5;16740;N;BOLSA;8;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;52367,0319;52633;628404,3828;NO
;N00006;DIBEN 1.5 KCAL HP BLS X 1000 ML CJA X 8 - INSTITUCIONAL;DIBEN 1.5 KCAL HP;4051895038063;RSA-002983-2017;;;30;FRESENIUS;General;General;524;DISP. MENNAR 2;16740;N;BOLSA;8;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;52367,0319;52633;1571010,957;NO
;N00007;DIBEN DRINK BOT X 200 ML CJA X 24 SABORES - INSTITUCIONAL;DIBEN DRINK;4051895054971;RSA-0030039-2024;;;468;FRESENIUS;General;General;280;DISP. MENNAR 1;16741;N;FRASCO;24;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;10384,8843;10412;4860125,852;NO
;N00007;DIBEN DRINK BOT X 200 ML CJA X 24 SABORES - INSTITUCIONAL;DIBEN DRINK;4051895054971;RSA-0030039-2024;;;120;FRESENIUS;General;General;312;Disp. MENNAR TIMBIO 1;16741;N;FRASCO;24;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;10384,8843;10412;1246186,116;NO
;N00007;DIBEN DRINK BOT X 200 ML CJA X 24 SABORES - INSTITUCIONAL;DIBEN DRINK;4051895054971;RSA-0030039-2024;;;181;FRESENIUS;General;General;475;DISP. MENNAR 4;16741;N;FRASCO;24;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;10384,8843;10412;1879664,058;NO
;N00007;DIBEN DRINK BOT X 200 ML CJA X 24 SABORES - INSTITUCIONAL;DIBEN DRINK;4051895054971;RSA-0030039-2024;;;298;FRESENIUS;General;General;495;BODEGA PRINCIPAL CEDI;16741;N;FRASCO;24;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;10384,8843;10412;3094695,521;NO
;N00007;DIBEN DRINK BOT X 200 ML CJA X 24 SABORES - INSTITUCIONAL;DIBEN DRINK;4051895054971;RSA-0030039-2024;;;14;FRESENIUS;General;General;509;DISP. MENNAR 5;16741;N;FRASCO;24;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;10384,8843;10412;145388,3802;NO
;N00007;DIBEN DRINK BOT X 200 ML CJA X 24 SABORES - INSTITUCIONAL;DIBEN DRINK;4051895054971;RSA-0030039-2024;;;131;FRESENIUS;General;General;524;DISP. MENNAR 2;16741;N;FRASCO;24;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;10384,8843;10412;1360419,843;NO
;N00008;DIBEN ORIGINAL BLS X 500 ML CJA X 15 - INSTITUCIONAL;DIBEN;7709990077339;RSA-0030029-2024;;;30;FRESENIUS;General;General;475;DISP. MENNAR 4;16742;N;BOLSA;15;;;;ML;1;INSUMOS EXCLUIDOS;0;N;N;Institucional;0;0;NO;16691,5702;16606;500747,106;NO
